id,title,link,pillar,topic,level,summary
OPS02-BP05,"Mechanisms exist to request additions, changes, and exceptions",https://docs.aws.amazon.com/wellarchitected/latest/operational-excellence-pillar/ops_ops_model_req_add_chg_exception.html,Operational Excellence,Relationships and ownership,Medium,"Compliance control for change requests in processes, procedures, and resources involves designated owners who can request additions, changes, and exceptions. These requests undergo a change management process, allowing informed decisions based on benefit-risk evaluations. Aim for deliberate changes, avoiding anti-patterns like untraceable deployment updates or missing disaster recovery owners. Benefits include evolving processes and informed ownership decisions. Risks of non-compliance are medium; implement by identifying owners, developing a lightweight change management process, and documenting it. Example: AnyCompany Retail uses a RACI matrix and a simple change process. Steps: identify owners, develop a change process, document it. Effort: medium, requires stakeholder alignment. Related: OPS02-BP01, OPS02-BP02, OPS02-BP03; AWS Systems Manager Change Manager."
OPS02-BP06,Responsibilities between teams are predefined or negotiated,https://docs.aws.amazon.com/wellarchitected/latest/operational-excellence-pillar/ops_ops_model_def_neg_team_agreements.html,Operational Excellence,Relationships and ownership,Low,"Compliance Control for Inter-team Agreements:Ensure defined agreements between teams outlining how they collaborate, including response times, SLAs, and communication channels. Document inter-team impact on business outcomes to prioritize tasks. Risks include redundant efforts and missed activities. Desired outcome: documented agreements and communication channels. Anti-patterns: siloed troubleshooting, unclear response times. Benefits: clear interaction, known responsiveness, defined channels. Level of risk: low if not established. Example: AnyCompany Retail's SRE and dev teams have a 15-min response SLA. Implementation: develop agreements, document processes, and responsibilities. Effort: medium if no existing agreements. Related: OPS02-BP02, OPS02-BP03. Docs: AWS Executive Insights, Intro to DevOps on AWS."
OPS03-BP01,Provide executive sponsorship,https://docs.aws.amazon.com/wellarchitected/latest/operational-excellence-pillar/ops_org_culture_executive_sponsor.html,Operational Excellence,Organizational culture,High,"**Compliance Control for Cloud Operations Best Practices**To ensure successful cloud operations, senior leadership must act as an executive sponsor, setting clear expectations and direction. This sponsor advocates best practices and drives transformation. Organizations should establish clear leadership and accountability for outcomes, assigning ownership to functional teams. Key steps include:1. **Define Vision and Strategy**: Clearly articulate the vision and strategy for cloud transformation.2. **Set Clear Goals**: Establish measurable goals and communicate how progress will be tracked.3. **Engage Leadership**: Actively involve top leadership to align teams and strategies.4. **Resource Allocation**: Provide necessary resources and support for teams to achieve goals.5. **Monitor and Adjust**: Regularly measure progress and adjust strategies based on feedback and outcomes.Failure to establish this control can lead to confusion, lack of innovation, and stalled transformation efforts. High-risk scenarios include unaligned teams and unclear objectives."
OPS03-BP02,Team members are empowered to take action when outcomes are at risk,https://docs.aws.amazon.com/wellarchitected/latest/operational-excellence-pillar/ops_org_culture_team_emp_take_action.html,Operational Excellence,Organizational culture,Medium,"**Compliance Control for Empowerment and Ownership Culture****Objective:** Develop a culture where employees feel empowered to act beyond their defined roles, fostering ownership, proactive risk identification, and high-value decision-making with situational awareness.**Guidelines:**- **Leadership Influence:** Leadership should instill a culture where employees feel empowered to make decisions and take actions to benefit the company.- **Clear Guidance:** Establish clear procedures for risk identification and escalation to ensure timely and appropriate responses.- **Ownership and Accountability:** Define and communicate clear ownership and accountability for various functional areas.- **Decision Levels:** Define one-way and two-way door decisions to guide when escalation to higher leadership is required.- **Training and Practice:** Provide documentation, tools, and opportunities for team members to practice decision-making skills.- **Knowledge Sharing:** Encourage teams to share operational successes and failures.- **Iterative Learning:** Accept failures as part of the learning process and incentivize improvements.- **Permissions:** Assign permissions and access to ensure team members can act within their authority.**Risk Exposure:** Medium. Without these controls, risks include data breaches, failed deployments, and operational inefficiencies.**Implementation Effort:** Medium. Requires defining roles, training, and establishing communication channels.**Related Practices:** Evaluate tradeoffs (OPS01-BP06), identify responsibility (OPS02-BP05)."
OPS03-BP03,Escalation is encouraged,https://docs.aws.amazon.com/wellarchitected/latest/operational-excellence-pillar/ops_org_culture_team_enc_escalation.html,Operational Excellence,Organizational culture,High,"**Compliance Control for Issue Escalation:**Teams must escalate issues early to higher leadership if outcomes are at risk. Leadership encourages this to foster a proactive culture, with no retribution for escalations. Policies should define escalation procedures, impact details, and response actions. Mechanisms like an Andon cord should be in place, and training should ensure understanding. Leadership must periodically reinforce these practices. Non-compliance risks high organizational impact.**Implementation Plan:**- Medium effort to embed escalation culture, train staff, and establish procedures."
OPS03-BP04,"Communications are timely, clear, and actionable",https://docs.aws.amazon.com/wellarchitected/latest/operational-excellence-pillar/ops_org_culture_effective_comms.html,Operational Excellence,Organizational culture,High,"To ensure compliance with effective communication strategies, establish a core team to develop communication plans for organizational changes. Institute single-threaded ownership, agree on standards, and ensure consistent messaging. Use tools like AWS Chatbot and Systems Manager Change Calendar for alerts and event scheduling. Foster diversity, provide necessary context, and measure communication effectiveness. Related best practices include executive sponsorship and use of runbooks/playbooks. Utilize AWS services like Chatbot and Systems Manager Documents for operational support."
OPS03-BP05,Experimentation is encouraged,https://docs.aws.amazon.com/wellarchitected/latest/operational-excellence-pillar/ops_org_culture_team_enc_experiment.html,Operational Excellence,Organizational culture,Medium,"**Compliance Control for Experimentation**Your organization encourages innovation through experimentation, fostering a culture of learning and engagement. Experiments are seen as opportunities to learn, and team members are not penalized for experiments with undesired outcomes. **Common Anti-Patterns:**- Lack of experimentation mechanisms leading to negative customer experiences.- Experimenting in production without a sandbox, risking production stability.**Benefits:**- Drives innovation.- Faster feedback response.- Develops a learning culture.**Risk Level: Medium.** Without safe experimentation practices, risks to production integrity increase.**Implementation Steps:**- Gain leadership support.- Provide safe experimentation environments (e.g., AWS sandbox).- Use feature flags and A/B testing.**Related Best Practices:**- Post-incident analysis (OPS11-BP02).- Feedback loops (OPS11-BP03).**Tools:**- AWS AppConfig Feature Flags- Amazon CloudWatch Evidently- AWS Control Tower**Effort Level: High.** Significant investment needed for environment setup and code modifications."
OPS03-BP06,Team members are encouraged to maintain and grow their skill sets,https://docs.aws.amazon.com/wellarchitected/latest/operational-excellence-pillar/ops_org_culture_team_enc_learn.html,Operational Excellence,Organizational culture,Medium,"**Compliance Control for Team Skill Development**To ensure teams adapt to new technologies and support workload demands, invest in structured skill growth. Encourage continuous learning, cross-training, and industry certification. Use AWS resources like the Skills Guild, re:Post, and Well-Architected Labs. Establish a dedicated budget for learning and mentorship programs. Aim for high team morale and innovation through structured knowledge sharing and collaboration. **Anti-Patterns:**- Lack of structured training leads to uncertainty and attrition.- Skill gaps during AWS migration cause burnout and dissatisfaction.**Benefits:**- Accelerates cloud adoption and innovation.- Enhances team morale and operational readiness.**Risk Level:**- Medium if not implemented.**Implementation Plan:**- High effort needed for structured programs.**Related Practices:**- OPS03-BP01: Executive sponsorship- OPS11-BP04: Knowledge management**Resources:**- AWS Whitepaper: Cloud Adoption Framework- AWS Skills Guild- AWS Training and Certification- AWS re:Post- AWS Documentation- The Official AWS Podcast"
OPS03-BP07,Resource teams appropriately,https://docs.aws.amazon.com/wellarchitected/latest/operational-excellence-pillar/ops_org_culture_team_res_appro.html,Operational Excellence,Organizational culture,Medium,"**Compliance Control for Team Staffing and Resource Allocation in Cloud Migration****Objective:** Ensure the team is appropriately staffed and skilled to manage AWS workloads, leveraging automation to enhance efficiency and mitigate risks.**Key Controls:**1. **Skills Assessment:** Regularly evaluate team proficiency in AWS technologies to align with migration plans.2. **Resource Planning:** Develop a dynamic staffing plan that includes tools and automation to manage workloads without overburdening staff.3. **Performance Metrics:** Monitor operational metrics (e.g., on-call fatigue) to ensure staff are not overwhelmed.4. **Feedback Mechanisms:** Implement monthly surveys to identify work-related challenges and adjust goals accordingly.5. **Capacity Review:** Regularly assess current resource allocation and adjust as needed to support shifting priorities.**Benefits:** Skilled teams can manage more infrastructure, adapt to operational changes, and maintain high employee satisfaction.**Risk:** Without proper staffing and resource planning, teams may struggle with workload support, leading to lower morale and performance issues."
OPS04-BP01,Identify key performance indicators,https://docs.aws.amazon.com/wellarchitected/latest/operational-excellence-pillar/ops_observability_identify_kpis.html,Operational Excellence,Implement observability,High,"To implement observability in your workload, align monitoring with business objectives by defining clear KPIs. Avoid anti-patterns like undefined, static, or misaligned KPIs. Benefits include clearer issue identification, business alignment, efficiency, and proactivity. High risk exists if best practices aren't established. Define KPIs starting with business outcomes, correlate technical metrics, use Amazon CloudWatch, and regularly update KPIs with stakeholder involvement. Effort level: medium. Related practices include application, user experience, dependency telemetry, and distributed tracing. Resources: AWS Observability Best Practices, CloudWatch Guide, Skill Builder Course, and Observability Workshop."
OPS04-BP02,Implement application telemetry,https://docs.aws.amazon.com/wellarchitected/latest/operational-excellence-pillar/ops_observability_application_telemetry.html,Operational Excellence,Implement observability,High,"**Compliance Control for Application Telemetry Observability**Ensure actionable insights into your application's performance and business KPIs using AWS services like Amazon CloudWatch and AWS X-Ray. Avoid anti-patterns like incomplete observability and fragmented data views. Key steps include defining business KPIs, deploying the CloudWatch agent, implementing anomaly detection, securing sensitive data, and standardizing data collection. Benefits include informed decision-making, improved operational efficiency, and enhanced workload stability. High risk exists if not established. High effort required for implementation. **Related Best Practices:** OPS04-BP01, OPS04-BP03, OPS04-BP04, OPS04-BP05. **Resources:** AWS Observability Best Practices, CloudWatch User Guide, AWS X-Ray Developer Guide, AWS Observability Skill Builder Course."
OPS04-BP03,Implement user experience telemetry,https://docs.aws.amazon.com/wellarchitected/latest/operational-excellence-pillar/ops_observability_customer_telemetry.html,Operational Excellence,Implement observability,High,"**Compliance Control for Monitoring Customer Experience**Ensure deep insights into customer experiences using Real User Monitoring (RUM) and synthetic transactions. RUM captures real user interactions for user satisfaction, while synthetic transactions simulate user interactions to detect potential issues proactively. Establish this practice to avoid delayed issue detection, lack of user experience insights, missed edge cases, and suboptimal application performance. Use AWS CloudWatch RUM and Synthetics for comprehensive monitoring. Implement RUM via JavaScript library and set up dashboards; configure synthetics with canaries for scripted interactions. Medium effort required. Related: OPS04-BP01, OPS04-BP02, OPS04-BP04, OPS04-BP05. Guides: Amazon CloudWatch RUM, Amazon CloudWatch Synthetics. Videos: Optimize with RUM, AWS on Air ft. RUM. Examples: One Observability Workshop, Git Repository for RUM Web Client, Synthetics for page load time."
OPS04-BP04,Implement dependency telemetry,https://docs.aws.amazon.com/wellarchitected/latest/operational-excellence-pillar/ops_observability_dependency_telemetry.html,Operational Excellence,Implement observability,High,"**Compliance Control for Dependency Telemetry:**Ensure your workload's performance by monitoring external services (DNS, databases, APIs) with telemetry. Identify dependencies, develop a tailored monitoring strategy, use network monitoring tools, and leverage AWS Health Dashboard and AWS X-Ray for insights. Set proactive alerts, validate post-changes, and continuously monitor metrics. Avoid anti-patterns like siloed monitoring and lack of proactive oversight. Benefits include improved reliability, faster issue detection, and enhanced scalability. High risk exists if not established. Effort: Medium. Related: OPS04-BP01, OPS04-BP02, OPS04-BP03, OPS04-BP05, OP08-BP04. Docs: AWS Health, Internet Monitor, X-Ray, DevOps Guru."
OPS04-BP05,Implement distributed tracing,https://docs.aws.amazon.com/wellarchitected/latest/operational-excellence-pillar/ops_observability_dist_trace.html,Operational Excellence,Implement observability,High,"**Distributed tracing compliance control (max 500 chars):**Ensure all distributed system components are instrumented for tracing with tools like AWS X-Ray and OpenTelemetry. Regularly analyze trace data to identify bottlenecks, optimize performance, and improve user experience. Implement alerts and continuous monitoring. Avoid anti-patterns like inconsistent instrumentation and latency oversight. Follow best practices for comprehensive system overview, enhanced debugging, and proactive issue resolution."
OPS05-BP01,Use version control,https://docs.aws.amazon.com/wellarchitected/latest/operational-excellence-pillar/ops_dev_integ_version_control.html,Operational Excellence,Design for operations,High,"**Compliance Control for Version Control in AWS**Implement version control using Git to track changes and releases for AWS services, especially for CloudFormation templates. This ensures collaborative code management, consistency, and easy rollback of errors. Avoid anti-patterns like local code storage and overwriting changes. Benefits include easy reverts and reduced asset loss risk. High risk exists without this practice. Integrate version control in your configuration management systems.**Related Best Practices:** OPS05-BP04 (Use build and deployment management systems)."
OPS05-BP02,Test and validate changes,https://docs.aws.amazon.com/wellarchitected/latest/operational-excellence-pillar/ops_dev_integ_test_val_chg.html,Operational Excellence,Design for operations,High,"To ensure software changes are thoroughly tested before deployment, implement a compliance control for testing all changes, including application code, infrastructure, and configurations. Establish testing standards, prioritize automated tests, and ensure developers have access to test results for continuous improvement. Key practices include shifting testing left in the delivery process, utilizing tools like Amazon Q Developer for test generation, and maintaining a standard that all changes must pass tests. Anti-patterns to avoid include deploying untested changes and neglecting security tests. Benefits include reduced deployment failure rates and enhanced software quality. Risks of non-compliance are high, potentially leading to production outages and security breaches. Use AWS services like CodePipeline, CodeBuild, and CodeGuru Reviewer to automate and streamline your testing processes."
OPS05-BP03,Use configuration management systems,https://docs.aws.amazon.com/wellarchitected/latest/operational-excellence-pillar/ops_dev_integ_conf_mgmt_sys.html,Operational Excellence,Design for operations,Medium,"**Compliance Control for Configuration Management:**Use configuration management systems to track and implement changes in application and environment configurations, reducing manual errors and effort. Automate configuration changes, validate them within CI/CD pipelines, and monitor configurations across environments. Establish configuration ownership, define deliverables, and integrate with CI/CD for consistent deployments. Adopt tools like AWS Config and AWS AppConfig for compliance and governance. Avoid manual updates and validate all changes to minimize risks. **Common Anti-patterns:**- Manual updates causing server unresponsiveness.- Inconsistent configurations leading to unexpected behaviors.- Security group changes causing accessibility issues.- Unvalidated pre-production configurations in production.**Benefits:**- Reduced errors and effort.- Enhanced governance and compliance.**Risk Level: Medium** if not established. **Related Best Practices:**- Plan for unsuccessful changes (OPS06-BP01)- Test deployments (OPS06-BP02)- Employ safe deployment strategies (OPS06-BP03)- Automate testing and rollback (OPS06-BP04)**Related Tools:**- AWS Config- AWS AppConfig- AWS CloudFormation- AWS Developer Tools (CodeBuild, CodePipeline, CodeDeploy)**Documents & Videos:**- AWS Control Tower- AWS Landing Zone Accelerator- AWS re:Invent 2022, 2020 compliance videos."
OPS05-BP04,Use build and deployment management systems,https://docs.aws.amazon.com/wellarchitected/latest/operational-excellence-pillar/ops_dev_integ_build_mgmt_sys.html,Operational Excellence,Design for operations,Medium,"**Compliance Control for Build and Deployment Management:**Implement automated CI/CD pipelines using AWS Developer Tools (e.g., CodeBuild, CodePipeline, CodeDeploy) to minimize errors from manual processes and streamline deployments. Avoid anti-patterns like manual copying of executables, missing static assets, and inability to reproduce successful builds. Automate from code check-in through build, testing, deployment, and validation to reduce effort, improve collaboration, and limit errors. **Benefits:** Reduces effort, enhances focus on high-value tasks, and minimizes manual errors. **Risk Level:** Medium if not established. Use version control, automated builds, and deployment monitoring for safe rollouts.**Related Practices:** Automate testing and rollbacks (OPS06-BP04). **Resources:** AWS Developer Tools, AWS CodeBuild, AWS CodeDeploy. **Video:** AWS re:Invent 2022 DevOps best practices."
OPS05-BP05,Perform patch management,https://docs.aws.amazon.com/wellarchitected/latest/operational-excellence-pillar/ops_dev_integ_patch_mgmt.html,Operational Excellence,Design for operations,Medium,"**Compliance Control for Patch Management:**Automate patch management using Amazon EC2 Image Builder and AWS Systems Manager Patch Manager to ensure timely updates, reduce errors, and maintain compliance. Establish image pipelines for AMIs and container images, test patches in safe environments, and use compliance reporting for tracking. Avoid applying all patches immediately and notify developers of changes to prevent disruptions. Focus on operational outcomes and vendor support.**Risk Level:** Medium. Ensure patches address issues, add features, and comply with governance. Use automation to minimize manual errors and effort.**Related Practices:** Automate testing and rollback (OPS06-BP04). **Resources:** Amazon EC2 Image Builder, AWS Systems Manager Patch Manager, compliance reports."
OPS05-BP06,Share design standards,https://docs.aws.amazon.com/wellarchitected/latest/operational-excellence-pillar/ops_dev_integ_share_design_stds.html,Operational Excellence,Design for operations,Medium,"**Compliance Control for Shared Design Standards**To maximize development benefits and ensure awareness, share best practices across teams, document them, and update as needed. Establish mechanisms for requesting changes and exceptions to standards to foster innovation. Common anti-patterns include duplicated efforts and non-uniform compliance implementations. Benefits include unified best practices and compliance. If not established, risk is medium. Identify a cross-functional team to develop and update standards, share them, and maintain them. Use AWS Service Catalog for portfolios. Implement a process for continuous updates and exceptions. Effort: Medium. Related practices: governance, compliance, operational readiness, continuous improvement, knowledge management. Tools: AWS Service Catalog."
OPS05-BP07,Implement practices to improve code quality,https://docs.aws.amazon.com/wellarchitected/latest/operational-excellence-pillar/ops_dev_integ_code_quality.html,Operational Excellence,Design for operations,Medium,"**Compliance Control for Code Quality Improvement**Adopt best practices to enhance code quality and reduce defects. Implement practices like test-driven development, code reviews, and pair programming. Integrate these into your CI/CD process. Avoid anti-patterns such as deploying unreviewed code to production and making manual changes without testing. Establish these practices to minimize production issues and improve developer productivity using tools like Amazon Q Developer. Level of effort: Medium. Related best practices include testing changes and sharing design standards."
OPS05-BP08,Use multiple environments,https://docs.aws.amazon.com/wellarchitected/latest/operational-excellence-pillar/ops_dev_integ_multi_env.html,Operational Excellence,Design for operations,Medium,"**Compliance Control for Environment Management:**To ensure compliance and governance, use multiple environments for development, testing, and production. Start with sandboxes for experimentation, then progressively apply stricter controls as you near production. This approach helps confirm workloads operate as intended. Establish a landing zone for governance, automation, security, and observability, managing it across environments. Avoid shared development spaces, restrictive security controls, and load testing on production systems. Instead, deploy production-like environments for testing and shut down unused ones to avoid costs. This strategy reduces risks, enhances agility, and maintains compliance as your organization grows.**Level of Risk:** Medium**Related Documents:**- Instance Scheduler on AWS- AWS CloudFormation- Organizing Your AWS Environment Using Multiple Accounts- AWS Control Tower Guide"
OPS05-BP09,"Make frequent, small, reversible changes",https://docs.aws.amazon.com/wellarchitected/latest/operational-excellence-pillar/ops_dev_integ_freq_sm_rev_chg.html,Operational Excellence,Design for operations,Low,"Compliance Control (max 500 chars):Adopt frequent, small, reversible changes to streamline troubleshooting, accelerate remediation, and simplify rollback. Avoid quarterly deployments, manual updates, and untracked schema changes. Utilize configuration and deployment management systems. Benefits include faster development, reduced risk, and quicker value delivery. If not established, risk remains low. Related: OPS05-BP03, OPS05-BP04, OPS06-BP04. Docs:  Implementing Microservices on AWS,   Microservices - Observability. "
OPS05-BP10,Fully automate integration and deployment,https://docs.aws.amazon.com/wellarchitected/latest/operational-excellence-pillar/ops_dev_integ_auto_integ_deploy.html,Operational Excellence,Design for operations,Low,"Compliance Control (max 500 chars):Automate build, deployment, and testing to minimize manual errors and streamline change deployment. Use consistent tagging with AWS Resource Groups for resource identification and management. Ensure developers use tools for code delivery, avoiding console logins, and maintain an audit trail for governance. Standardize processes to boost productivity and focus on development.Common anti-patterns: Manual code check-ins, non-standard AWS environment creation, and manual deployment requests. Benefits: Reduced errors, faster delivery, and increased productivity. Risk: Low if not automated. Related: Configuration, build, and deployment management systems."
OPS05-BP01,Use version control,https://docs.aws.amazon.com/wellarchitected/latest/operational-excellence-pillar/ops_dev_integ_version_control.html,Operational Excellence,Design for operations,High,"**Compliance Control for Version Control in AWS:**Utilize version control to track changes and releases in AWS services. Implement Git for managing code and infrastructure artifacts like AWS CloudFormation templates. This ensures collaboration, consistency, and easy rollback of changes. Avoid losing code or assets due to failures or overwrites.**Risk:** High if not established.**Related:** OPS05-BP04, DevSecOps, build/deployment management.**Videos:** AWS re:Invent 2023 on DevSecOps, GitHub AI collaboration."
OPS05-BP02,Test and validate changes,https://docs.aws.amazon.com/wellarchitected/latest/operational-excellence-pillar/ops_dev_integ_test_val_chg.html,Operational Excellence,Design for operations,High,"**Compliance Control for Software Change Testing**Ensure all software changes undergo rigorous testing before deployment to production. This includes application code, infrastructure, configurations, security controls, and operational procedures. Testing should range from unit tests to software component analysis. Prioritize early testing in the software delivery process for higher artifact quality assurance. Establish testing standards for all software artifacts, leveraging automated tests to minimize manual errors and provide developers with timely feedback. Aim for zero failures in production by adhering to these standards.**Anti-patterns:**- Deploying untested changes causing production outages.- Untested infrastructure changes leading to accessibility issues.- Modifying code without unit tests resulting in deployment failures.**Benefits:**- Reduced change fail rates.- Improved software quality.- Enhanced developer awareness.- Confident security policy rollouts.- Advanced testing of infrastructure changes.**Risk Level:**High if best practices are not established.**Key Actions:**- Develop a comprehensive testing standard.- Use tools like Amazon Q Developer for automated test generation.- Integrate tests into the CI/CD pipeline.- Share test results for immediate feedback.**Related Practices:**- Use version control.- Share design standards.- Automate integration and deployment.**Tools:**- Amazon Q Developer- Amazon CodeGuru Reviewer- AWS CodeBuild- AWS CodePipeline**Outcome:**Ensured tested software changes with access to results, maintaining a robust testing standard across the organization."
